,state_number,key,key_number,value,tag
187,1,word1.opacity,66,0,468
188,1,word1.opacity,67,1,475
189,1,word1.opacity,68,0,482
190,1,word1.opacity,69,1,489
191,1,word1.opacity,70,0,496
192,1,word1.opacity,71,1,503
193,1,word1.opacity,72,0,510
194,1,word1.opacity,73,1,517
195,1,word1.opacity,74,0,524
196,1,word1.opacity,75,1,531
197,1,word1.opacity,76,0,538
198,1,word1.opacity,77,1,545
199,1,word1.opacity,78,0,552
200,1,word1.opacity,79,1,559
201,1,word1.opacity,80,0,566
202,1,word1.opacity,81,1,573
203,1,word1.opacity,82,0,580
204,1,word1.opacity,83,1,587
205,1,word1.opacity,84,0,594
206,1,word1.opacity,85,1,601
207,1,word1.opacity,86,0,608
208,1,word1.opacity,87,1,615
209,1,word1.opacity,88,0,622
210,1,word1.opacity,89,1,629
211,1,word1.opacity,90,0,636
212,1,word1.opacity,91,1,643
213,1,word1.opacity,92,0,650
214,1,word1.opacity,93,1,657
215,1,word1.opacity,94,0,664
216,1,word1.opacity,95,1,671
217,1,word1.opacity,96,0,678
218,1,word1.opacity,97,1,685
219,1,word1.opacity,98,0,692
220,1,word1.opacity,99,1,699
221,1,word1.opacity,100,0,706
222,1,word1.opacity,101,1,713
223,1,word1.opacity,102,0,720
224,1,update_trigger_t,0,7.252870082855225,
225,1,word1.text,0,kiwi,504
226,1,word2.text,0,sane,504
