ngram,freq
at 5,637200
June 30,636982
a 50,635938
B. The,635629
P. A.,633867
section 1,633272
E. M.,631663
and 50,631454
late 1990s,630916
by Dr.,628877
A. S.,628267
r 2,625952
of 16,625418
B. and,624878
E. A.,623081
at 2,622396
R. H.,622229
about 50,619463
of 2008,618235
to St.,617160
late 1960s,617150
U.S. Government,617103
and 11,617073
of 7,615272
in 1945,615098
D. R.,614203
a 12,613776
the 5th,613556
A. R.,612930
s 2,610308
Figure 7,610194
v. United,609945
A. L.,608854
S. L.,608461
a 30,606951
a 6,606306
volume 1,606254
for U.S.,603591
in 1950,603404
by J.,601521
p 2,601165
at 4,600416
see e.g.,600290
in 1966,598960
A. A.,598606
in 1947,597585
late 1970s,597256
K. and,595041
St. Petersburg,593785
E. J.,593070
P. M.,592911
in 1962,592235
the 20,592118
came in.,591658
in 1963,590206
i 1,589740
M. de,588031
D. C.,585729
John F.,584429
in. She,583501
at 3,582646
ref 1,581851
in 1961,578640
the 17th,578504
C. R.,578185
about 15,577987
b 1,573535
M. D.,573008
G. A.,570018
L. M.,569655
D. W.,567743
C. L.,567611
to 0,566157
U. S.,565503
in E.,565286
or 3,563934
by 1,562188
in 1940,560013
in 1939,558723
D. H.,558035
in 3,557468
the 16th,557399
than 3,556594
Chapter 18,555616
step 4,553012
in 1949,552985
T. and,552923
and 100,551648
October 1,547124
section 5,546014
of 60,544949
in G.,544525
of 14,543533
at 6,543430
W. J.,542417
in 1956,542186
A. E.,541278
No. 4,540779
A. D.,540248
in. It,540162
D. E.,539454
to 90,538633
K. A.,538064
of 11,537584
in 1914,537142
the 6,536434
d 0,535313
Mr. and,534999
and 25,532543
R. B.,531060
S. E.,529154
and 14,529035
early 1960s,528972
in 2017,526913
with 2,526902
for 4,526095
of 2010,525127
M. H.,524029
R. G.,522560
C. E.,522481
or 1,521249
in 1958,521017
of S.,519737
in 1957,517781
x 3,517358
d 2,515471
f 1,514892
in 1946,514799
U.S. Census,514645
the 15th,514474
T. J.,512774
and 40,512175
J. T.,510020
J. Am,509979
in 1938,509663
in 1959,508528
of 0,508476
D. S.,507479
by U.S.,507043
the 9,506809
Copyright 2015,506375
of 2009,505483
the 10th,505436
People v.,504948
the 7th,504717
P.O. Box,503901
Table 5,503171
A. H.,502686
the 30,501740
¼ 0,500799
in 1954,499523
on 2,499302
Figure 8,498877
a 0,498262
H. J.,497886
F. Supp,497305
to 9,497262
A. B.,497236
C. H.,495971
on U.S.,495840
and 1970s,495733
v 1,495666
the 6th,495306
in 1933,495142
and 13,495140
S. R.,495043
St. Martin,494711
the 3D,492774
k 1,490891
m 1,490836
Chapter 19,490542
a 100,490418
than 40,490193
and 16,490127
b 2,488698
CH 2,488613
in 1955,488554
to 80,487575
for Mr.,486937
K. M.,485632
in 1953,485571
U.S. Navy,484531
of 24,484275
in 1936,483910
k 2,483698
the 12th,483417
and 18,483060
in 1952,482344
the 50,481796
the 2012,481768
W. E.,481091
than 90,481042
J. K.,480928
about 40,479737
article 2,479182
by 2,478544
the 2009,478144
than 60,476983
in 1937,476851
S. C.,476590
a 15,475012
R. R.,474775
chapter 20,474539
in B.,474449
the 13th,473808
in 5,473554
i 2,473552
in L.,473279
within 30,473240
E. B.,472886
of A.,472300
part 3,471134
the 2011,470548
of 13,470409
in 1920,470006
for 6,468493
on 15,468177
in 1919,467872
on 10,466903
G. W.,464696
G. M.,463935
in 1929,463177
in 1941,462823
in 1935,462150
about 4,461850
to 24,460392
on 3,460143
the 1880s,459975
the 14th,458847
Fig. 1,458683
v. State,455985
is 2,455955
over 100,455204
in 1917,453287
of M.,451601
May 1,451468
and Co.,451395
in 1930,451388
CHAPTER 2,450628
and St.,450546
M. B.,449780
in 1944,449513
to 18,449308
the 100,447964
article 3,447805
him in.,447801
A. G.,446667
in 1942,445370
CHAPTER 3,445118
to 14,444880
T. A.,444785
O 3,444353
H. W.,444096
CH 3,442622
f 2,442079
T. S.,441985
it in.,441931
the 8th,441442
CHAPTER 4,440866
in 1951,440854
y 1,440432
the 1890s,439811
CHAPTER 1,438400
by A.,438040
Inc. All,437918
on 9,437651
April 1,437616
M. G.,437451
x 10,437014
R. F.,436517
at 20,436043
M. P.,434237
as Mr.,434196
e 1,433788
B. J.,433742
H. M.,433584
September 30,432941
Paper No.,432771
L. J.,432549
over 50,431635
on 5,431588
by 10,431533
B. A.,431506
on 4,430755
by M.,430739
I. The,430631
D. The,430027
and 24,429778
the 11th,429652
CHAPTER 5,429507
A. P.,429319
that Mrs.,428638
on 20,428591
is 10,428423
with Dr.,428044
W. and,427951
or 4,427574
in 1934,427276
F. and,426436
C. C.,426368
H. A.,426002
June 1,425321
h 1,425293
on 12,425152
D. G.,424936
in 1932,424790
in H.,424558
on 6,424115
oil 1,423715
about 100,423577
level 1,422944
in 1918,422865
State v.,422346
an 8,421564
y 2,420901
C. D.,420511
v 2,420298
l 1,420171
and V.,419755
the Rev.,419107
G. E.,418581
P. R.,418524
Figure 2.1,418453
Figure 3.1,417962
in 1943,417940
chapter 21,417595
the 15,417125
the 9th,416455
on 30,416372
J. Phys,416012
of 200,415886
and 1980s,414020
and 0,414006
of 2011,413871
R. P.,413523
in T.,413202
A. W.,411958
questions 1,411831
of C.,411518
W. A.,411041
in 1912,410179
to 200,409517
Figure 4.1,409000
Figure 9,408901
and 60,408612
in 1928,408306
on 8,407891
from 10,407846
A. K.,407361
S. S.,407078
of 17,406395
top 10,406072
the 8,405827
Table 3.1,405267
on 11,405157
Table 4.1,404848
in 1910,403759
than 15,403520
in 1900,402404
in 1913,402358
the 2007,402324
J. Chem,402151
than 200,401573
CHAPTER 6,401338
and 17,401271
the 2004,401050
level 2,400187
the 2006,399768
E. L.,399620
N. and,398820
W. R.,398468
on 7,398059
M. W.,397596
T. M.,396382
in 1931,395874
to 70,395186
of 21,395105
and Y.,394857
D. B.,393663
a 24,393607
from 2,393577
with Mrs.,393051
Table 2.1,390890
Figure 5.1,390382
article 1,390335
at 100,389513
chopped 1,388983
W. B.,388553
"per 100,000",388319
as 1,388042
U.S. Congress,387856
on 25,387555
about 25,387543
C. W.,387302
September 1,387265
Geneva 1560,387180
in 1925,387126
at 25,386978
in 1922,386845
on 14,386647
G. R.,386109
Table 5.1,385914
to 16,385885
F. Kennedy,384779
L. Rev.,384727
in 1924,384605
S. D.,383794
in 1921,383709
at 30,383584
in 1927,383491
March 1,383333
in 1916,382617
and 1960s,382598
the 7,382288
G. J.,381925
from Mr.,381189
and 1990s,380332
with 10,379802
in K.,379443
P. L.,378925
of CO2,378715
and 2010,378404
on 17,378086
example 1,377400
in 4,377278
a 25,376773
the 1870s,376360
by R.,376138
CHAPTER 7,375615
R. K.,375091
on 16,374964
K. J.,374792
l 2,374608
on 22,373973
No. It,373527
in 1915,373140
in 1911,372603
the 2005,372020
salt 1,371996
on 23,371839
note 1,371030
in 20,370991
about 6,370959
U.S. dollars,370812
S. H.,370703
D. P.,370352
on 28,369839
W. Norton,369746
on 18,369636
in 1923,368951
on 21,368877
on 24,368753
i.e. a,368025
J. Appl,367930
H. G.,367308
for 12,367080
a 3D,366689
volume 2,366389
early 2000s,365889
in 1926,365872
step 5,365560
walked in.,365258
U.S. Constitution,365088
e 2,364970
than 25,363250
Figure 6.1,362350
between 1,362284
Figure 1.1,361663
William H.,361578
Robert E.,361001
St. Peter,360979
section 6,360860
S. P.,360777
P. C.,360407
L. S.,359349
M. F.,358974
John C.,358398
Act 1988,358095
H. C.,357473
S. K.,357359
for 24,357140
of 22,356751
M. K.,356131
Table 6.1,355499
of 2012,355280
n +1,355070
on 13,354836
H. L.,354699
in 1905,354127
a 7,353501
at 8,353064
late 1950s,352814
W. C.,352091
Bibelen 1930,351959
G. H.,351943
with 5,351654
in W.,351546
than 80,351352
March 31,351165
the 2000s,350570
between 0,350011
article 6,348550
Mr. President,348363
on 26,348209
E. H.,347664
C. G.,347429
C. B.,347325
of E.,346981
Copyright 201,346742
S. Ct,346630
per 100,346245
of 80,345849
S. B.,345825
is 5,345587
Fig. 2,345565
of 2007,345351
on 19,345206
Table 6,345128
article 5,344990
B. M.,344920
to 11,344611
or 5,344285
Cornilescu 1921,344075
year 2000,343669
on 27,343486
H. H.,343457
me in.,342792
Chapter 22,342648
K. S.,342440
the 1850s,342439
over 30,342177
CHAPTER 8,342051
level 3,342043
Dansk 1931,341906
Figure 10,341773
Report No.,341710
the 2000,340561
from U.S.,340524
U.S. dollar,339818
in 1908,339731
John A.,339650
Lutherbibel 1912,339650
K. L.,339608
about 60,339393
No. 5,339078
is 3,338932
No. of,338748
John W.,338144
by 5,336919
Sainte 1887,336814
a 40,335826
Segond 1910,335419
section 8,334699
of 19,334659
by 3,333972
only 1,333168
v. The,332870
Gdańska 1881,332776
"per 1,000",332722
of 500,332575
than 6,332542
with 3,331494
over 20,331272
the 1860s,330808
L. R.,330480
e.g. in,330334
M. T.,329868
P. S.,329738
with U.S.,329386
W. M.,329347
Rev. Lett,329049
and 2008,328739
early 1950s,328490
Figure 7.1,328379
March 2011,328094
E. P.,327585
to 350,327584
u 1,327219
article 8,327203
Statenvertaling 1637,327177
Web 2.0,326867
on 29,326112
English 2000,324926
Heart 2010,324876
Valera 1909,324849
article 4,324695
a 9,324000
and 19,323664
E. R.,323623
than 4,323583
St. George,323469
Literal 1898,323167
the 1830s,323024
in 1906,322960
